Experiment config name,Central,Raw CBAA,Raw ADMM,CBAA,ADMM,ADMM_1,,Greedy
60_4_8_8_0,58.9024140834808,2.19693565368652,7.57767868041992,0.037297888174377,0.128648015507145,0.128648015507145,0.550481363541725,1.96730287918155E-06
61_4_8_8_1,29.9021430015564,9.37336444854736,8.88261294364929,0.313467982815127,0.297056065285587,0.297056065285587,-0.026881688904142,8.13439430384227E-07
62_4_8_8_2,1417.45159387589,14.2460014820099,14.5824158191681,0.010050432440557,0.010287769883763,0.010287769883763,0.011669538901272,2.94088441845945E-06
63_4_8_8_3,214.9017329216,15.9076271057129,14.713041305542,0.07402279585859,0.068464042171822,0.068464042171822,-0.039012401170571,6.14907261859536E-06
64_4_8_8_4,7575.28181815147,29.5390317440033,13.3527526855469,0.00389939707236,0.00176267405043,0.00176267405043,-0.37737481137075,0.000724472831333
65_4_8_8_5,46.2067799568176,8.95134806632996,7.08898305892944,0.193723693247948,0.153418677206125,0.153418677206125,-0.116105147260194,3.81942952446572E-05
66_4_8_8_6,603.155224084854,4.91605758666992,6.72711706161499,0.008150567864398,0.011153210306388,0.011153210306388,0.155546878721075,2.91865339464704E-05
67_4_8_8_7,92.0965278148651,5.24618792533875,7.17793536186218,0.056964014277333,0.07793926147022,0.07793926147022,0.155483601689101,8.57420838173485E-07
68_4_8_8_8,628.840235948563,13.5715951919556,19.184716463089,0.021581944691379,0.030508093099593,0.030508093099593,0.17135999102234,3.55639326689822E-06
69_4_8_8_9,76.0933289527893,8.44191908836365,7.1368293762207,0.110941645010712,0.093790473809453,0.093790473809453,-0.083773720020569,1.2552967052549E-06
70_4_8_8_10,846.627571105957,66.7160847187042,17.5323436260223,0.078802164015935,0.02070844870209,0.02070844870209,-0.583794167547347,6.20175572933549E-05
71_4_8_8_11,82.2493751049042,23.0147752761841,10.8157961368561,0.279817022887166,0.13150004025029,0.13150004025029,-0.360590395899309,2.42868922041837E-06
72_4_8_8_12,25.0761590003967,6.75434184074402,7.13533639907837,0.269353127033417,0.284546624503597,0.284546624503597,0.027430049260754,1.11935522524652E-06
73_4_8_8_13,2005.92927002907,34.2552077770233,11.8533253669739,0.017076976884896,0.005909144227604,0.005909144227604,-0.48585111870916,8.82701711290052E-07
74_4_8_8_14,4910.59717607498,37.9616684913635,17.165292263031,0.007730560485865,0.003495561058574,0.003495561058574,-0.377245107362003,4.42769709147979E-06
75_4_8_8_15,396.014241933823,6.12655830383301,6.03836441040039,0.015470550437569,0.015247846594895,0.015247846594895,-0.007249852342213,0.000336599782858
76_4_8_8_16,111.526388168335,7.37571477890015,8.03600215911865,0.066134256654734,0.072054715400532,0.072054715400532,0.042843207079002,9.06145111850557E-07
77_4_8_8_17,6902.05473995209,13.9260494709015,18.929621219635,0.002017667201376,0.002742606648722,0.002742606648722,0.15228944177891,8.37533185610776E-06
78_4_8_8_18,10861.7813870907,29.2454500198364,65.4942326545715,0.002692509541261,0.00602978740968,0.00602978740968,0.382614566689139,0.000330334389217
80_4_8_8_20,1723.93329906464,12.4981842041016,11.9162414073944,0.00724980729294,0.006912240406204,0.006912240406204,-0.023836022438848,1.45481481421032E-06
81_4_8_8_21,467.137821912766,7.96176385879517,8.82629871368408,0.017043714906651,0.018894421088713,0.018894421088713,0.051496999797115,9.26770659332541E-07
